match_key,match_id,n_players
2011-10-07|Argentina|Chile,1154327.0,22
2011-10-07|Ecuador|Venezuela,2220056.0,22
2011-10-07|Peru|Paraguay,1154328.0,22
2011-10-07|Uruguay|Bolivia,1154326.0,22
2011-10-11|Bolivia|Colombia,1154329.0,22
2011-10-11|Chile|Peru,1154331.0,22
2011-10-11|Paraguay|Uruguay,1154330.0,22
2011-10-11|Venezuela|Argentina,1154332.0,22
2011-11-11|Argentina|Bolivia,1154336.0,22
2011-11-11|Colombia|Venezuela,1154333.0,22
2011-11-11|Paraguay|Ecuador,1154334.0,22
2011-11-11|Uruguay|Chile,1154335.0,22
2011-11-15|Colombia|Argentina,1154338.0,22
2011-11-15|Ecuador|Peru,1154339.0,22
2011-11-15|Chile|Paraguay,1154337.0,22
2011-11-15|Venezuela|Bolivia,1154340.0,22
2012-06-02|Argentina|Ecuador,2217964.0,22
2012-06-02|Bolivia|Chile,2217963.0,22
2012-06-02|Uruguay|Venezuela,2217962.0,22
2012-06-03|Peru|Colombia,2217965.0,22
2012-06-09|Bolivia|Paraguay,2218043.0,22
2012-06-09|Venezuela|Chile,2218044.0,22
2012-06-10|Ecuador|Colombia,2218046.0,22
2012-06-10|Uruguay|Peru,2218045.0,22
2012-09-07|Argentina|Paraguay,2264921.0,22
2012-09-07|Colombia|Uruguay,2264919.0,22
2012-09-07|Ecuador|Bolivia,2264920.0,22
2012-09-07|Peru|Venezuela,2264922.0,22
2012-09-11|Chile|Colombia,2264923.0,22
2012-09-11|Paraguay|Venezuela,2264925.0,22
2012-09-11|Peru|Argentina,2264926.0,22
2012-09-11|Uruguay|Ecuador,2264924.0,22
2012-10-12|Argentina|Uruguay,2268954.0,22
2012-10-12|Colombia|Paraguay,2268952.0,22
2012-10-12|Bolivia|Peru,2268951.0,22
2012-10-12|Ecuador|Chile,2268953.0,22
2012-10-16|Bolivia|Uruguay,2268956.0,22
2012-10-16|Chile|Argentina,2268955.0,22
2012-10-16|Paraguay|Peru,2268958.0,22
2012-10-16|Venezuela|Ecuador,2268957.0,22
2013-03-22|Colombia|Bolivia,2268962.0,22
2013-03-22|Argentina|Venezuela,2268959.0,22
2013-03-22|Uruguay|Paraguay,2268960.0,22
2013-03-22|Peru|Chile,2268961.0,22
2013-03-26|Chile|Uruguay,2268965.0,22
2013-03-26|Ecuador|Paraguay,2268964.0,22
2013-03-26|Bolivia|Argentina,2268963.0,22
2013-03-26|Venezuela|Colombia,2268966.0,22
2013-06-07|Bolivia|Venezuela,2303483.0,22
2013-06-07|Argentina|Colombia,2303482.0,22
2013-06-07|Peru|Ecuador,2303485.0,22
2013-06-07|Paraguay|Chile,2303484.0,22
2013-06-11|Ecuador|Argentina,2303486.0,22
2013-06-11|Chile|Bolivia,2303487.0,22
2013-06-11|Colombia|Peru,2303488.0,22
2013-06-11|Venezuela|Uruguay,2303489.0,22
2013-09-06|Chile|Venezuela,2303491.0,22
2013-09-06|Colombia|Ecuador,2303493.0,22
2013-09-06|Paraguay|Bolivia,2303490.0,22
2013-09-06|Peru|Uruguay,2303492.0,22
2013-09-10|Bolivia|Ecuador,2303495.0,22
2013-09-10|Paraguay|Argentina,2303496.0,22
2013-09-10|Uruguay|Colombia,2303494.0,22
2013-09-10|Venezuela|Peru,2303497.0,22
2013-10-11|Argentina|Peru,2303498.0,22
2013-10-11|Colombia|Chile,2303500.0,22
2013-10-11|Ecuador|Uruguay,2303499.0,22
2013-10-11|Venezuela|Paraguay,2303501.0,22
2013-10-15|Chile|Ecuador,2303504.0,22
2013-10-15|Peru|Bolivia,2303505.0,22
2013-10-15|Uruguay|Argentina,2303502.0,22
2011-06-29|Vietnam|Macau,1121906.0,22
2011-07-03|Macau|Vietnam,1121914.0,22
2011-07-23|Kuwait|Philippines,1125673.0,22
2011-07-23|United Arab Emirates|India,1125682.0,22
2011-07-23|Qatar|Vietnam,1125678.0,22
2011-07-23|Oman|Myanmar,1125674.0,22
2011-07-23|Iraq|Yemen,1125679.0,22
2011-07-23|Thailand|Palestine,1125669.0,22
2011-07-23|Saudi Arabia|Hong Kong,1125675.0,22
2011-07-23|Uzbekistan|Kyrgyzstan,1125681.0,22
2011-07-23|Jordan|Nepal,1125683.0,22
